case_id,group,session_id,actual_outcome,predicted_probability,trust_band,evidence_json,explanation,human_factually_correct,human_complete,human_free_of_unsupported,human_notes
11,out-of-domain,5m8s2,1,0.02,REJECT,"{""session_id"": ""5m8s2"", ""environment"": {""technology"": ""5G"", ""context"": ""Mobility"", ""matches_training_environment"": false}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.02, ""threshold"": 0.5, ""predicted_positive"": false}, ""radio_evidence"": {""rsrp_dbm_last"": -99.0, ""rsrp_dbm_mean_10s"": -100.3, ""rsrp_trend_10s"": 1.0, ""rsrq_db_last"": -11.0, ""snr_db_last"": 7.0, ""cqi_last"": 6.0}, ""throughput_evidence"": {""downlink_kbps_last"": 490.0, ""downlink_kbps_mean_10s"": 15457.1, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 298.0, ""handovers_so_far"": 2.0, ""stalls_so_far"": 2.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.433, ""trust_score"": 0.088, ""trust_band"": ""REJECT""}}",,,,,
12,out-of-domain,p13aug,1,0.012,REJECT,"{""session_id"": ""p13aug"", ""environment"": {""technology"": ""5G"", ""context"": ""Pedestrian"", ""matches_training_environment"": false}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.012, ""threshold"": 0.5, ""predicted_positive"": false}, ""radio_evidence"": {""rsrp_dbm_last"": -85.0, ""rsrp_dbm_mean_10s"": -98.4, ""rsrp_trend_10s"": 9.0, ""rsrq_db_last"": -3.0, ""snr_db_last"": 21.0, ""cqi_last"": 11.0}, ""throughput_evidence"": {""downlink_kbps_last"": 0.0, ""downlink_kbps_mean_10s"": 151.1, ""fraction_of_zero_throughput_seconds"": 0.1}, ""session_evidence"": {""elapsed_seconds"": 262.0, ""handovers_so_far"": 0.0, ""stalls_so_far"": 0.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.433, ""trust_score"": 0.09, ""trust_band"": ""REJECT""}}",,,,,
13,out-of-domain,5my10,1,0.012,REJECT,"{""session_id"": ""5my10"", ""environment"": {""technology"": ""5G"", ""context"": ""Mobility"", ""matches_training_environment"": false}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.012, ""threshold"": 0.5, ""predicted_positive"": false}, ""radio_evidence"": {""rsrp_dbm_last"": -100.0, ""rsrp_dbm_mean_10s"": -99.2, ""rsrp_trend_10s"": -2.0, ""rsrq_db_last"": -3.0, ""snr_db_last"": 21.0, ""cqi_last"": 10.0}, ""throughput_evidence"": {""downlink_kbps_last"": 7.0, ""downlink_kbps_mean_10s"": 24.0, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 176.0, ""handovers_so_far"": 1.0, ""stalls_so_far"": 0.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.433, ""trust_score"": 0.09, ""trust_band"": ""REJECT""}}",,,,,
14,out-of-domain,2p9aug,0,0.014,REJECT,"{""session_id"": ""2p9aug"", ""environment"": {""technology"": ""5G"", ""context"": ""Pedestrian"", ""matches_training_environment"": false}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.014, ""threshold"": 0.5, ""predicted_positive"": false}, ""radio_evidence"": {""rsrp_dbm_last"": -95.0, ""rsrp_dbm_mean_10s"": -98.7, ""rsrp_trend_10s"": 4.0, ""rsrq_db_last"": -3.0, ""snr_db_last"": 13.0, ""cqi_last"": 13.0}, ""throughput_evidence"": {""downlink_kbps_last"": 87666.0, ""downlink_kbps_mean_10s"": 49530.7, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 202.0, ""handovers_so_far"": 2.0, ""stalls_so_far"": 0.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.433, ""trust_score"": 0.089, ""trust_band"": ""REJECT""}}",,,,,
15,out-of-domain,5p30,0,0.017,REJECT,"{""session_id"": ""5p30"", ""environment"": {""technology"": ""5G"", ""context"": ""Pedestrian"", ""matches_training_environment"": false}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.017, ""threshold"": 0.5, ""predicted_positive"": false}, ""radio_evidence"": {""rsrp_dbm_last"": -120.0, ""rsrp_dbm_mean_10s"": -119.3, ""rsrp_trend_10s"": -2.0, ""rsrq_db_last"": -17.0, ""snr_db_last"": -13.0, ""cqi_last"": 7.0}, ""throughput_evidence"": {""downlink_kbps_last"": 0.0, ""downlink_kbps_mean_10s"": 0.0, ""fraction_of_zero_throughput_seconds"": 1.0}, ""session_evidence"": {""elapsed_seconds"": 462.0, ""handovers_so_far"": 9.0, ""stalls_so_far"": 0.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.433, ""trust_score"": 0.089, ""trust_band"": ""REJECT""}}",,,,,
16,out-of-domain,4m28o,0,0.108,REJECT,"{""session_id"": ""4m28o"", ""environment"": {""technology"": ""5G"", ""context"": ""Mobility"", ""matches_training_environment"": false}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.108, ""threshold"": 0.5, ""predicted_positive"": false}, ""radio_evidence"": {""rsrp_dbm_last"": -94.0, ""rsrp_dbm_mean_10s"": -96.0, ""rsrp_trend_10s"": 2.0, ""rsrq_db_last"": -13.0, ""snr_db_last"": 6.0, ""cqi_last"": 4.0}, ""throughput_evidence"": {""downlink_kbps_last"": 23759.0, ""downlink_kbps_mean_10s"": 17594.9, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 50.0, ""handovers_so_far"": 2.0, ""stalls_so_far"": 0.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.433, ""trust_score"": 0.072, ""trust_band"": ""REJECT""}}",,,,,
17,out-of-domain,3m24auglte,0,0.19,REJECT,"{""session_id"": ""3m24auglte"", ""environment"": {""technology"": ""5G"", ""context"": ""Mobility"", ""matches_training_environment"": false}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.19, ""threshold"": 0.5, ""predicted_positive"": false}, ""radio_evidence"": {""rsrp_dbm_last"": -97.0, ""rsrp_dbm_mean_10s"": -97.5, ""rsrp_trend_10s"": 1.0, ""rsrq_db_last"": -14.0, ""snr_db_last"": 2.0, ""cqi_last"": 4.0}, ""throughput_evidence"": {""downlink_kbps_last"": 5533.0, ""downlink_kbps_mean_10s"": 2658.6, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 73.0, ""handovers_so_far"": 2.0, ""stalls_so_far"": 2.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.433, ""trust_score"": 0.057, ""trust_band"": ""REJECT""}}",,,,,
18,out-of-domain,5mq,0,0.087,REJECT,"{""session_id"": ""5mq"", ""environment"": {""technology"": ""5G"", ""context"": ""Mobility"", ""matches_training_environment"": false}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.087, ""threshold"": 0.5, ""predicted_positive"": false}, ""radio_evidence"": {""rsrp_dbm_last"": -100.0, ""rsrp_dbm_mean_10s"": -99.9, ""rsrp_trend_10s"": 7.0, ""rsrq_db_last"": -19.0, ""snr_db_last"": -1.0, ""cqi_last"": 10.0}, ""throughput_evidence"": {""downlink_kbps_last"": 28113.0, ""downlink_kbps_mean_10s"": 30443.9, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 272.0, ""handovers_so_far"": 3.0, ""stalls_so_far"": 1.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.433, ""trust_score"": 0.076, ""trust_band"": ""REJECT""}}",,,,,
19,out-of-domain,5m8s2,0,0.218,REJECT,"{""session_id"": ""5m8s2"", ""environment"": {""technology"": ""5G"", ""context"": ""Mobility"", ""matches_training_environment"": false}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.218, ""threshold"": 0.5, ""predicted_positive"": false}, ""radio_evidence"": {""rsrp_dbm_last"": -96.0, ""rsrp_dbm_mean_10s"": -99.2, ""rsrp_trend_10s"": 4.0, ""rsrq_db_last"": -13.0, ""snr_db_last"": 9.0, ""cqi_last"": 8.0}, ""throughput_evidence"": {""downlink_kbps_last"": 146343.0, ""downlink_kbps_mean_10s"": 116741.0, ""fraction_of_zero_throughput_seconds"": 0.0}, ""session_evidence"": {""elapsed_seconds"": 313.0, ""handovers_so_far"": 2.0, ""stalls_so_far"": 4.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.433, ""trust_score"": 0.052, ""trust_band"": ""REJECT""}}",,,,,
20,out-of-domain,2m20aug,0,0.106,REJECT,"{""session_id"": ""2m20aug"", ""environment"": {""technology"": ""5G"", ""context"": ""Mobility"", ""matches_training_environment"": false}, ""prediction"": {""event"": ""video stall within next 5 seconds"", ""probability"": 0.106, ""threshold"": 0.5, ""predicted_positive"": false}, ""radio_evidence"": {""rsrp_dbm_last"": -80.0, ""rsrp_dbm_mean_10s"": -76.6, ""rsrp_trend_10s"": -12.0, ""rsrq_db_last"": -3.0, ""snr_db_last"": 22.0, ""cqi_last"": 15.0}, ""throughput_evidence"": {""downlink_kbps_last"": 63281.0, ""downlink_kbps_mean_10s"": 28913.5, ""fraction_of_zero_throughput_seconds"": 0.1}, ""session_evidence"": {""elapsed_seconds"": 29.0, ""handovers_so_far"": 0.0, ""stalls_so_far"": 0.0}, ""reliability"": {""model"": ""RandomForest + Platt scaling"", ""validation_f1_in_training_environment"": 0.518, ""distribution_shift_psi"": 0.433, ""trust_score"": 0.072, ""trust_band"": ""REJECT""}}",,,,,
